H6578,數,수
H6587,文,문
H6597,斗,두
H6599,料,료
H659C,斜,사
H65A4,斤,근
H65A5,斥,척
H65AF,斯,사
H65B0,新,신
H65B7,斷,단
H65B9,方,방
H65BC,於,어
H65BD,施,시
H65C5,旅,려
H65CB,旋,선
H65CF,族,족
H65D7,旗,기
H65E3,旣,기
H65E5,日,일
H65E6,旦,단
H65E9,早,조
H65EC,旬,순
H65F1,旱,한
H6607,昇,승
H660C,昌,창
H660E,明,명
H660F,昏,혼
H6613,易,역
H6614,昔,석
H661F,星,성
H6620,映,영
H6625,春,춘
H6628,昨,작
H662D,昭,소
H662F,是,시
H6642,時,시
H665A,晚,만
H665D,晝,주
H6668,晨,신
H666E,普,보
H666F,景,경
H6674,晴,청
H667A,智,지
H6687,暇,가
H6691,暑,서
H6696,暖,난
H6697,暗,암
H66A2,暢,창
H66AB,暫,잠
H66AE,暮,모
H66B4,暴,폭
H66C6,曆,력
H66C9,曉,효
H66DC,曜,요
H66F0,曰,왈
H66F2,曲,곡
H66F4,更,갱
H66F8,書,서
H66FE,曾,증
H66FF,替,체
H6700,最,최
H6703,會,회
H6708,月,월
H6709,有,유
H670B,朋,붕
H670D,服,복
H6714,朔,삭
H6717,朗,랑
H671B,望,망
H671D,朝,조
H671F,期,기
H6728,木,목
H672A,未,미
H672B,末,말
H672C,本,본
H6731,朱,주
H6734,朴,박
H674E,李,리
H6750,材,재
H6751,村,촌
H675F,束,속
H676F,杯,배
H6771,東,동
H677E,松,송
H677F,板,판
H6790,析,석
H6795,枕,침
H6797,林,림
H679C,果,과
H679D,枝,지
H67AF,枯,고
H67B6,架,가
H67D0,某,모
H67D3,染,염
H67D4,柔,유
H67F1,柱,주
H67F3,柳,류
H67FB,査,사
H6817,栗,률
H6821,校,교
H682A,株,주
H6838,核,핵
H6839,根,근
H683C,格,격
H683D,栽,재
H6842,桂,계
H6843,桃,도
H6848,案,안
H6851,桑,상
H6881,梁,량
H6885,梅,매
H689D,條,조
H68A8,梨,리
H68B0,械,계
H68C4,棄,기
H68EE,森,삼
H690D,植,식
H694A,楊,양
H6953,楓,풍
H696D,業,업
H6975,極,극
H69AE,榮,영
H69CB,構,구
H69EA,槪,개
H6A02,樂,락
H6A13,樓,루
H6A19,標,표
H6A21,模,모
H6A23,樣,양
H6A39,樹,수
H6A4B,橋,교
H6A5F,機,기
H6A6B,橫,횡
H6A80,檀,단
H6AA2,檢,검
H6B04,欄,란
H6B0A,權,권
H6B21,次,차
H6B32,欲,욕
H6B3A,欺,기
H6B4C,歌,가
H6B4E,歎,탄
H6B61,歡,환
H6B62,止,지
H6B63,正,정
H6B64,此,차
H6B65,步,보
H6B66,武,무
H6B72,歲,세
H6B77,歷,력
H6B78,歸,귀
H6B7B,死,사
H6B83,殃,앙
H6B86,殆,태
H6B89,殉,순
H6B8A,殊,수
H6B98,殘,잔
H6BB5,段,단
H6BBA,殺,살
